stamp_sec,p_lidar_x,p_lidar_y,p_lidar_z,v_lidar_x,v_lidar_y,v_lidar_z,speed_2d,fix_type,flags,h_acc_mm,v_acc_mm,s_acc_mm_s,quality
1783929950.537176132,13.432107,-3.273886,-0.087066,0.236157,-0.378790,0.000000,0.446377,3,131,20,50,50,high
1783929950.537333012,13.459222,-3.308771,-0.087066,0.339150,-0.296205,0.000000,0.450289,3,131,20,50,50,high
1783929950.937033892,13.619434,-3.352125,-0.087067,0.494444,-0.126106,0.000000,0.510272,3,131,20,50,50,high
1783929950.937433004,13.656569,-3.345646,-0.087067,0.434760,0.006086,0.000000,0.434802,3,131,20,50,50,high
1783929951.159277201,13.679518,-3.339000,-0.087067,0.253948,0.121390,0.000000,0.281469,3,131,20,50,50,high
1783929951.316886187,13.700385,-3.311589,-0.087067,0.028113,0.144705,0.000000,0.147411,3,131,20,50,50,high
1783929951.537031889,13.700385,-3.311589,0.012933,0.000000,0.000000,0.000000,0.000000,3,131,20,50,50,high
1783929951.537459373,13.723334,-3.304944,0.012933,0.000000,0.000000,0.000000,0.000000,3,131,20,50,50,high
1783929951.736926317,13.717911,-3.297967,0.012933,0.000000,0.000000,0.000000,0.000000,3,131,20,50,50,high
1783929951.737030745,13.682859,-3.325212,0.012933,-0.229199,-0.071757,0.000000,0.240169,3,131,20,50,50,high
1783929951.936794043,13.628197,-3.345314,0.012933,-0.464691,-0.080013,0.000000,0.471529,3,131,20,50,50,high
1783929951.936891794,13.574793,-3.330863,0.012933,-0.667334,0.060119,0.000000,0.670037,3,131,20,50,50,high
1783929952.157028913,13.505120,-3.295480,0.012934,-0.629728,0.269198,0.000000,0.684854,3,131,20,50,50,high
1783929952.436980963,13.412930,-3.176871,0.012934,-0.446913,0.653202,0.000000,0.791457,3,131,20,50,50,high
1783929952.437026739,13.384990,-3.086668,0.012934,-0.095394,0.904892,0.000000,0.909906,3,131,20,50,50,high
1783929952.657155752,13.402948,-2.983173,0.012934,0.051803,0.987638,0.000000,0.988996,3,131,20,50,50,high
1783929952.657264471,13.424247,-2.865890,0.012934,0.285204,1.036064,0.000000,1.074602,3,131,20,50,50,high
